prev_filename,filename,cell_type,xmin,xmax,ymin,ymax
00000000.jpg,0.jpg,stas,185,269,521,607
00000000.jpg,0.jpg,stas,1135,1235,571,667
00000001.jpg,1.jpg,stas,1238,1428,440,713
00000001.jpg,1.jpg,stas,1445,1493,792,866
00000001.jpg,1.jpg,stas,1530,1579,339,398
00000002.jpg,2.jpg,stas,760,791,450,492
00000002.jpg,2.jpg,stas,783,936,469,663
00000003.jpg,3.jpg,stas,703,1060,288,703
00000003.jpg,3.jpg,stas,868,941,261,332
00000004.jpg,4.jpg,stas,950,1195,272,626
00000004.jpg,4.jpg,stas,1091,1184,596,701
00000005.jpg,5.jpg,stas,263,358,377,577
00000006.jpg,6.jpg,stas,271,449,95,220
00000006.jpg,6.jpg,stas,460,554,536,736
00000006.jpg,6.jpg,stas,750,807,341,396
00000006.jpg,6.jpg,stas,1255,1341,438,585
00000006.jpg,6.jpg,stas,1234,1314,694,762
00000006.jpg,6.jpg,stas,573,651,452,501
00000007.jpg,7.jpg,stas,701,791,344,427
00000007.jpg,7.jpg,stas,719,914,395,529
00000008.jpg,8.jpg,stas,1261,1377,227,331
00000008.jpg,8.jpg,stas,894,991,74,149
00000008.jpg,8.jpg,stas,694,808,265,357
00000008.jpg,8.jpg,stas,493,572,247,312
00000008.jpg,8.jpg,stas,402,495,374,461
00000008.jpg,8.jpg,stas,419,572,451,599
00000008.jpg,8.jpg,stas,538,628,554,614
00000009.jpg,9.jpg,stas,1273,1338,422,470
00000009.jpg,9.jpg,stas,1164,1261,439,517
00000009.jpg,9.jpg,stas,1233,1318,169,252
00000009.jpg,9.jpg,stas,1158,1242,234,346
00000009.jpg,9.jpg,stas,1068,1162,229,307
00000009.jpg,9.jpg,stas,1007,1130,279,356
00000009.jpg,9.jpg,stas,1025,1162,337,407
00000009.jpg,9.jpg,stas,682,830,72,172
00000009.jpg,9.jpg,stas,609,712,321,415
00000009.jpg,9.jpg,stas,560,644,384,509
00000009.jpg,9.jpg,stas,439,539,432,510
00000009.jpg,9.jpg,stas,39,123,584,646
00000009.jpg,9.jpg,stas,1319,1365,198,245
